"Libelle";"Code"
"Nettoyage d’articles d’habillement (S)";"03.1.4.1"
"Réparation, confection et location d’articles d’habillement (S)";"03.1.4.2"
"Chaussures";"03.2"
"Chaussures diverses (SD)";"03.2.1"
"Chaussures pour hommes (SD)";"03.2.1.1"
"Chaussures pour femmes (SD)";"03.2.1.2"
"Chaussures pour nourrissons et enfants (SD)";"03.2.1.3"
"Nettoyage, réparation et location de chaussures (S)";"03.2.2"
"Nettoyage, réparation et location de chaussures (S)";"03.2.2.0"
"Logement, eau, gaz, électricité et autres combustibles";"04"
"Loyers d’habitation effectivement payés";"04.1"
"Loyers effectivement payés par les locataires pour des résidences principales (S)";"04.1.1"
"Loyers effectivement payés par les locataires pour des résidences principales (S)";"04.1.1.0"
"Autres loyers effectifs (S)";"04.1.2"
"Loyers effectivement payés par les locataires pour des résidences secondaires (S)";"04.1.2.1"
"Loyers de garages et autres loyers payés par les locataires (S)";"04.1.2.2"
"Loyers d’habitation imputés";"04.2"
"Loyers imputés des propriétaires-occupants pour leur résidence principale (S)";"04.2.1"
"Loyers imputés des propriétaires-occupants pour leur résidence principale (S)";"04.2.1.0"
"Autres loyers imputés (S)";"04.2.2"
"Autres loyers imputés (S)";"04.2.2.0"
"Entretien, réparation et sécurité des logements";"04.3"
"Équipement de sécurité et fournitures pour travaux d’entretien et de réparation des logements";"04.3.1"
"Fournitures pour travaux d’entretien et de réparation des logements (ND)";"04.3.1.1"
"Peintures, vernis et papier peints";"04.3.1.1.1"
"Articles de quincaillerie, fourniture pour bricolage autres qu’en bois";"04.3.1.1.2"
"Articles en bois";"04.3.1.1.3"
"Revêtements de sol";"04.3.1.1.4"
"Accessoires de petit outillage pour le logement";"04.3.1.1.5"
"Autres matériaux";"04.3.1.1.6"
"Équipement de sécurité (SD)";"04.3.1.2"
"Services concernant l’entretien, les réparations et la sécurité du logement (S)";"04.3.2"
"Services concernant l’entretien, les réparations et la sécurité du logement (S)";"04.3.2.0"
"Services de plombiers";"04.3.2.0.1"
"Services d’électriciens";"04.3.2.0.2"
"Services d’entretien pour les systèmes individuels de chauffage et de climatisation";"04.3.2.0.3"
"Services de peintres";"04.3.2.0.4"
"Services de menuisiers et charpentiers";"04.3.2.0.5"
"Services de pose de moquettes et de revêtements de sol";"04.3.2.0.6"
"Autres services";"04.3.2.0.7"
"Alimentation en eau et services divers liés au logement";"04.4"
"Alimentation en eau (ND)";"04.4.1"
"Alimentation en eau par les réseaux de distribution (ND)";"04.4.1.1"
"Alimentation en eau par d’autres systèmes (ND)";"04.4.1.2"
"Collecte des ordures ménagères (S)";"04.4.2"
"Collecte des ordures ménagères (S)";"04.4.2.0"
"Reprise des eaux usées (S)";"04.4.3"
"Reprise des eaux usées par les systèmes d’égouts (S)";"04.4.3.1"
"Collecte des eaux usées par des systèmes d’assainissement autonomes (S)";"04.4.3.2"
"Autres services liés au logement (S)";"04.4.4"
"Charges d’entretien des immeubles collectifs (S)";"04.4.4.1"
"Autres services liés au logement n.c.a. (S)";"04.4.4.9"
"Électricité, gaz et autres combustibles";"04.5"
"Électricité (ND)";"04.5.1"
"Électricité (ND)";"04.5.1.0"
"Gaz (ND)";"04.5.2"
"Gaz naturel distribué (ND)";"04.5.2.1"
"Hydrocarbures liquéfiés (ND)";"04.5.2.2"
"Combustibles liquides (ND)";"04.5.3"
"Combustibles liquides (ND)";"04.5.3.0"
"Combustibles solides (ND)";"04.5.4"
"Charbon, briquettes de charbon, tourbe et briquettes de tourbe (ND)";"04.5.4.1"
"Bois de chauffage, y compris granulés et briquettes (ND)";"04.5.4.2"
"Charbon de bois (ND)";"04.5.4.3"
"Autres combustibles solides (ND)";"04.5.4.9"
"Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)";"04.5.5"
